Log start on,2022-03-21 17:32:43
Feature,Gyroscope
Nodes,WeSU @41A8E9, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
21/03/2022 17:33:41.732,57845,WeSU @41A8E9,3410,0900FAFFB9FF,0.9,-0.6,-7.1,
21/03/2022 17:33:41.757,57870,WeSU @41A8E9,3411,0600F6FFB4FF,0.6,-1.0,-7.6,
21/03/2022 17:33:41.763,57876,WeSU @41A8E9,3412,0400F9FFB1FF,0.4,-0.7,-7.9,
21/03/2022 17:33:41.789,57902,WeSU @41A8E9,3413,0400FBFFADFF,0.4,-0.5,-8.3,
21/03/2022 17:33:41.817,57930,WeSU @41A8E9,3414,07000300ACFF,0.7,0.3,-8.4,
21/03/2022 17:33:41.819,57932,WeSU @41A8E9,3415,FCFFF8FFA3FF,-0.4,-0.8,-9.3,
21/03/2022 17:33:41.851,57964,WeSU @41A8E9,3416,EAFFE2FF89FF,-2.2,-3.0,-11.9,
21/03/2022 17:33:41.879,57992,WeSU @41A8E9,3417,DFFFC2FF8FFF,-3.3,-6.2,-11.3,
21/03/2022 17:33:41.879,57992,WeSU @41A8E9,3418,E9FFF8FF69FF,-2.3,-0.8,-15.1,
21/03/2022 17:33:41.907,58020,WeSU @41A8E9,3419,D7FFDFFF5FFF,-4.1,-3.3,-16.1,
21/03/2022 17:33:41.939,58052,WeSU @41A8E9,3420,CBFF120056FF,-5.3,1.8,-17.0,
21/03/2022 17:33:41.968,58081,WeSU @41A8E9,3421,B2FF3F004CFF,-7.8,6.3,-18.0,
21/03/2022 17:33:41.970,58083,WeSU @41A8E9,3422,A8FF33003DFF,-8.8,5.1,-19.5,
21/03/2022 17:33:41.999,58112,WeSU @41A8E9,3423,A4FF5C003AFF,-9.2,9.2,-19.8,
21/03/2022 17:33:42.002,58115,WeSU @41A8E9,3424,A9FF35002AFF,-8.7,5.3,-21.4,
21/03/2022 17:33:42.030,58143,WeSU @41A8E9,3425,A6FF3E0011FF,-9.0,6.2,-23.9,
21/03/2022 17:33:42.057,58170,WeSU @41A8E9,3426,B0FF7C0025FF,-8.0,12.4,-21.9,
21/03/2022 17:33:42.059,58172,WeSU @41A8E9,3427,B0FF95002EFF,-8.0,14.9,-21.0,
21/03/2022 17:33:42.123,58236,WeSU @41A8E9,3429,B3FF4D0050FF,-7.7,7.7,-17.6,
21/03/2022 17:33:42.121,58234,WeSU @41A8E9,3428,AFFF700046FF,-8.1,11.2,-18.6,
21/03/2022 17:33:42.127,58240,WeSU @41A8E9,3430,99FF280042FF,-10.3,4.0,-19.0,
21/03/2022 17:33:42.150,58263,WeSU @41A8E9,3431,89FF460039FF,-11.9,7.0,-19.9,
