Log start on,2022-03-21 18:11:50
Feature,Accelerometer
Nodes,WeSU @41A8E9, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
21/03/2022 18:11:51.951,1406,WeSU @41A8E9,1034,F4FCB30097FE,-780,179,-361,
21/03/2022 18:11:51.974,1429,WeSU @41A8E9,1035,7FFCE5007DFE,-897,229,-387,
21/03/2022 18:11:52.001,1456,WeSU @41A8E9,1036,0AFCC60081FE,-1014,198,-383,
21/03/2022 18:11:52.002,1457,WeSU @41A8E9,1037,87FC940066FE,-889,148,-410,
21/03/2022 18:11:52.034,1489,WeSU @41A8E9,1038,7AFCAA0076FE,-902,170,-394,
21/03/2022 18:11:52.068,1523,WeSU @41A8E9,1039,71FC1001FAFD,-911,272,-518,
21/03/2022 18:11:52.075,1530,WeSU @41A8E9,1040,76FC91006BFE,-906,145,-405,
21/03/2022 18:11:52.093,1548,WeSU @41A8E9,1041,79FCED0046FE,-903,237,-442,
21/03/2022 18:11:52.123,1578,WeSU @41A8E9,1042,89FC9C00C4FE,-887,156,-316,
21/03/2022 18:11:52.125,1580,WeSU @41A8E9,1043,5EFC8200CEFE,-930,130,-306,
21/03/2022 18:11:52.155,1610,WeSU @41A8E9,1044,D4FCAD00AEFE,-812,173,-338,
21/03/2022 18:11:52.183,1638,WeSU @41A8E9,1045,48FDCA0092FE,-696,202,-366,
21/03/2022 18:11:52.184,1639,WeSU @41A8E9,1046,A4FCB2006EFE,-860,178,-402,
21/03/2022 18:11:52.212,1667,WeSU @41A8E9,1047,B2FCCE0092FE,-846,206,-366,
21/03/2022 18:11:52.248,1703,WeSU @41A8E9,1048,BDFCBF0072FE,-835,191,-398,
21/03/2022 18:11:52.253,1708,WeSU @41A8E9,1049,6CFCA9003EFE,-916,169,-450,
21/03/2022 18:11:52.279,1734,WeSU @41A8E9,1050,5AFCBD0016FE,-934,189,-490,
21/03/2022 18:11:52.303,1758,WeSU @41A8E9,1051,73FCD100E2FD,-909,209,-542,
21/03/2022 18:11:52.305,1760,WeSU @41A8E9,1052,4EFC980095FE,-946,152,-363,
21/03/2022 18:11:52.331,1786,WeSU @41A8E9,1053,8AFCB40046FE,-886,180,-442,
21/03/2022 18:11:52.362,1817,WeSU @41A8E9,1054,57FDA400DBFD,-681,164,-549,
21/03/2022 18:11:52.365,1820,WeSU @41A8E9,1055,C9FCB000FBFD,-823,176,-517,
21/03/2022 18:11:52.393,1848,WeSU @41A8E9,1056,3FFCBC0075FE,-961,188,-395,
21/03/2022 18:11:52.422,1877,WeSU @41A8E9,1057,89FCB90074FE,-887,185,-396,
21/03/2022 18:11:52.428,1883,WeSU @41A8E9,1058,86FC86002EFE,-890,134,-466,
21/03/2022 18:11:52.452,1907,WeSU @41A8E9,1059,92FCB80033FE,-878,184,-461,
21/03/2022 18:11:52.483,1938,WeSU @41A8E9,1060,B2FC99008BFE,-846,153,-373,
21/03/2022 18:11:52.485,1940,WeSU @41A8E9,1061,AEFC8700AFFE,-850,135,-337,
21/03/2022 18:11:52.514,1969,WeSU @41A8E9,1062,58FC830079FE,-936,131,-391,
21/03/2022 18:11:52.547,2002,WeSU @41A8E9,1063,7CFC930085FE,-900,147,-379,
21/03/2022 18:11:52.553,2008,WeSU @41A8E9,1064,54FC950077FE,-940,149,-393,
21/03/2022 18:11:52.572,2027,WeSU @41A8E9,1065,31FCB0007AFE,-975,176,-390,
21/03/2022 18:11:52.602,2057,WeSU @41A8E9,1066,38FCB00095FE,-968,176,-363,
21/03/2022 18:11:52.603,2058,WeSU @41A8E9,1067,28FCA000DCFE,-984,160,-292,
21/03/2022 18:11:52.632,2087,WeSU @41A8E9,1068,53FCA100FCFE,-941,161,-260,
