Log start on,2022-05-23 17:48:32
Feature,Gyroscope
Nodes,WeSU @41A8E9, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
23/05/2022 17:48:32.825,18,WeSU @41A8E9,4914,B7FFFDFEABFF,-7.3,-25.9,-8.5,
23/05/2022 17:48:32.854,47,WeSU @41A8E9,4915,AAFF74FFD2FF,-8.6,-14.0,-4.6,
23/05/2022 17:48:32.916,109,WeSU @41A8E9,4916,BCFF8BFFD9FF,-6.8,-11.7,-3.9,
23/05/2022 17:48:32.918,111,WeSU @41A8E9,4917,C8FF07FFC1FF,-5.6,-24.9,-6.3,
23/05/2022 17:48:32.918,111,WeSU @41A8E9,4918,E3FF5AFEA0FF,-2.9,-42.2,-9.6,
23/05/2022 17:48:32.949,142,WeSU @41A8E9,4919,E6FF05FE87FF,-2.6,-50.7,-12.1,
23/05/2022 17:48:32.950,143,WeSU @41A8E9,4920,C4FF60FE74FF,-6.0,-41.6,-14.0,
23/05/2022 17:48:32.974,167,WeSU @41A8E9,4921,8BFF51FF79FF,-11.7,-17.5,-13.5,
23/05/2022 17:48:33.004,197,WeSU @41A8E9,4922,71FFF7FF78FF,-14.3,-0.9,-13.6,
23/05/2022 17:48:33.005,198,WeSU @41A8E9,4923,8BFFE8FF5DFF,-11.7,-2.4,-16.3,
23/05/2022 17:48:33.034,227,WeSU @41A8E9,4924,B3FF4EFF25FF,-7.7,-17.8,-21.9,
23/05/2022 17:48:33.065,258,WeSU @41A8E9,4925,C7FFCDFE09FF,-5.7,-30.7,-24.7,
23/05/2022 17:48:33.068,261,WeSU @41A8E9,4926,CBFFABFE08FF,-5.3,-34.1,-24.8,
23/05/2022 17:48:33.094,287,WeSU @41A8E9,4927,D1FFBDFEFAFE,-4.7,-32.3,-26.2,
23/05/2022 17:48:33.124,317,WeSU @41A8E9,4928,D3FFF5FEE0FE,-4.5,-26.7,-28.8,
23/05/2022 17:48:33.125,318,WeSU @41A8E9,4929,E7FF3EFFE3FE,-2.5,-19.4,-28.5,
23/05/2022 17:48:33.154,347,WeSU @41A8E9,4930,E2FFB8FF0EFF,-3.0,-7.2,-24.2,
23/05/2022 17:48:33.184,377,WeSU @41A8E9,4931,E8FFD6FF1DFF,-2.4,-4.2,-22.7,
23/05/2022 17:48:33.214,407,WeSU @41A8E9,4932,D3FFC7FF2EFF,-4.5,-5.7,-21.0,
23/05/2022 17:48:33.243,436,WeSU @41A8E9,4933,89FFA3FF33FF,-11.9,-9.3,-20.5,
23/05/2022 17:48:33.245,438,WeSU @41A8E9,4934,4DFFB4FF4EFF,-17.9,-7.6,-17.8,
23/05/2022 17:48:33.274,467,WeSU @41A8E9,4935,30FFFBFF9DFF,-20.8,-0.5,-9.9,
23/05/2022 17:48:33.304,497,WeSU @41A8E9,4936,34FFF5FFE5FF,-20.4,-1.1,-2.7,
23/05/2022 17:48:33.306,499,WeSU @41A8E9,4937,80FF1C007000,-12.8,2.8,11.2,
23/05/2022 17:48:33.334,527,WeSU @41A8E9,4938,A4FFA5FF6900,-9.2,-9.1,10.5,
23/05/2022 17:48:33.369,562,WeSU @41A8E9,4939,8EFFDBFF8E00,-11.4,-3.7,14.2,
23/05/2022 17:48:33.369,562,WeSU @41A8E9,4940,74FFC0FFA200,-14.0,-6.4,16.2,
23/05/2022 17:48:33.394,587,WeSU @41A8E9,4941,4FFFD0FFBF00,-17.7,-4.8,19.1,
23/05/2022 17:48:33.424,617,WeSU @41A8E9,4942,17FF3700DC00,-23.3,5.5,22.0,
23/05/2022 17:48:33.424,617,WeSU @41A8E9,4943,F3FE6D00FB00,-26.9,10.9,25.1,
23/05/2022 17:48:33.454,647,WeSU @41A8E9,4944,00FF5E002201,-25.6,9.4,29.0,
23/05/2022 17:48:33.484,677,WeSU @41A8E9,4945,1AFF1E002001,-23.0,3.0,28.8,
23/05/2022 17:48:33.485,678,WeSU @41A8E9,4946,17FFC4FFFD00,-23.3,-6.0,25.3,
23/05/2022 17:48:33.516,709,WeSU @41A8E9,4947,29FFD3FEA300,-21.5,-30.1,16.3,
23/05/2022 17:48:33.544,737,WeSU @41A8E9,4948,45FF81FE5100,-18.7,-38.3,8.1,
23/05/2022 17:48:33.546,739,WeSU @41A8E9,4949,6CFFC2FEFFFF,-14.8,-31.8,-0.1,
23/05/2022 17:48:33.574,767,WeSU @41A8E9,4950,C6FF69FFD5FF,-5.8,-15.1,-4.3,
23/05/2022 17:48:33.610,803,WeSU @41A8E9,4952,A400D10095FF,16.4,20.9,-10.7,
23/05/2022 17:48:33.609,802,WeSU @41A8E9,4951,44002900C0FF,6.8,4.1,-6.4,
23/05/2022 17:48:33.666,859,WeSU @41A8E9,4954,84012F0140FF,38.8,30.3,-19.2,
23/05/2022 17:48:33.666,859,WeSU @41A8E9,4953,E4003C0150FF,22.8,31.6,-17.6,
23/05/2022 17:48:33.666,859,WeSU @41A8E9,4955,C401240006FF,45.2,3.6,-25.0,
23/05/2022 17:48:33.694,887,WeSU @41A8E9,4956,B401E1FFAAFE,43.6,-3.1,-34.2,
23/05/2022 17:48:33.754,947,WeSU @41A8E9,4957,7401EFFF63FE,37.2,-1.7,-41.3,
23/05/2022 17:48:33.756,949,WeSU @41A8E9,4958,0701670098FE,26.3,10.3,-36.0,
23/05/2022 17:48:33.757,950,WeSU @41A8E9,4959,C3003A00DDFE,19.5,5.8,-29.1,
23/05/2022 17:48:33.784,977,WeSU @41A8E9,4960,A10093FF29FF,16.1,-10.9,-21.5,
23/05/2022 17:48:33.785,978,WeSU @41A8E9,4961,780021FF6DFF,12.0,-22.3,-14.7,
23/05/2022 17:48:33.815,1008,WeSU @41A8E9,4962,4E0011FF8BFF,7.8,-23.9,-11.7,
23/05/2022 17:48:33.844,1037,WeSU @41A8E9,4963,2A0018FFA0FF,4.2,-23.2,-9.6,
23/05/2022 17:48:33.846,1039,WeSU @41A8E9,4964,090015FF89FF,0.9,-23.5,-11.9,
23/05/2022 17:48:33.874,1067,WeSU @41A8E9,4965,F1FF17FF64FF,-1.5,-23.3,-15.6,
23/05/2022 17:48:33.937,1130,WeSU @41A8E9,4966,E9FF08FF33FF,-2.3,-24.8,-20.5,
23/05/2022 17:48:33.939,1132,WeSU @41A8E9,4967,E5FF37FFFEFE,-2.7,-20.1,-25.8,
23/05/2022 17:48:33.940,1133,WeSU @41A8E9,4968,3D0054008DFF,6.1,8.4,-11.5,
23/05/2022 17:48:33.964,1157,WeSU @41A8E9,4969,A40083FF77FF,16.4,-12.5,-13.7,
23/05/2022 17:48:33.966,1159,WeSU @41A8E9,4970,8A0084FF8AFF,13.8,-12.4,-11.8,
23/05/2022 17:48:33.999,1192,WeSU @41A8E9,4971,4500EDFF9FFF,6.9,-1.9,-9.7,
23/05/2022 17:48:34.023,1216,WeSU @41A8E9,4972,F4FF5300CAFF,-1.2,8.3,-5.4,
23/05/2022 17:48:34.024,1217,WeSU @41A8E9,4973,BCFF7500E8FF,-6.8,11.7,-2.4,
23/05/2022 17:48:34.054,1247,WeSU @41A8E9,4974,A3FF88000900,-9.3,13.6,0.9,
23/05/2022 17:48:34.084,1277,WeSU @41A8E9,4975,8BFFBF003500,-11.7,19.1,5.3,
23/05/2022 17:48:34.085,1278,WeSU @41A8E9,4976,5FFFFC007300,-16.1,25.2,11.5,
23/05/2022 17:48:34.114,1307,WeSU @41A8E9,4977,1FFF0E01B300,-22.5,27.0,17.9,
23/05/2022 17:48:34.144,1337,WeSU @41A8E9,4978,FDFEAE00DA00,-25.9,17.4,21.8,
23/05/2022 17:48:34.145,1338,WeSU @41A8E9,4979,FAFE1E00E100,-26.2,3.0,22.5,
23/05/2022 17:48:34.173,1366,WeSU @41A8E9,4980,0DFF94FFD600,-24.3,-10.8,21.4,
23/05/2022 17:48:34.203,1396,WeSU @41A8E9,4981,2CFF89FFC400,-21.2,-11.9,19.6,
23/05/2022 17:48:34.204,1397,WeSU @41A8E9,4982,7FFF62FF8900,-12.9,-15.8,13.7,
23/05/2022 17:48:34.235,1428,WeSU @41A8E9,4983,CCFF37FF3C00,-5.2,-20.1,6.0,
23/05/2022 17:48:34.264,1457,WeSU @41A8E9,4984,490017FFABFF,7.3,-23.3,-8.5,
23/05/2022 17:48:34.265,1458,WeSU @41A8E9,4985,920024FF2FFF,14.6,-22.0,-20.9,
23/05/2022 17:48:34.297,1490,WeSU @41A8E9,4986,CE0089FFC7FE,20.6,-11.9,-31.3,
23/05/2022 17:48:34.325,1518,WeSU @41A8E9,4987,0401BAFF76FE,26.0,-7.0,-39.4,
23/05/2022 17:48:34.325,1518,WeSU @41A8E9,4988,340195FF36FE,30.8,-10.7,-45.8,
23/05/2022 17:48:34.354,1547,WeSU @41A8E9,4989,5901EAFE04FE,34.5,-27.8,-50.8,
23/05/2022 17:48:34.384,1577,WeSU @41A8E9,4990,570135FEF8FD,34.3,-45.9,-52.0,
23/05/2022 17:48:34.386,1579,WeSU @41A8E9,4991,210161FE16FE,28.9,-41.5,-49.0,
23/05/2022 17:48:34.414,1607,WeSU @41A8E9,4992,C2007BFF66FE,19.4,-13.3,-41.0,
23/05/2022 17:48:34.444,1637,WeSU @41A8E9,4993,4800B400F9FE,7.2,18.0,-26.3,
23/05/2022 17:48:34.446,1639,WeSU @41A8E9,4994,E1FF6D01C6FF,-3.1,36.5,-5.8,
23/05/2022 17:48:34.507,1700,WeSU @41A8E9,4995,A6FFEB004000,-9.0,23.5,6.4,
23/05/2022 17:48:34.510,1703,WeSU @41A8E9,4996,65FF7A00C800,-15.5,12.2,20.0,
23/05/2022 17:48:34.511,1704,WeSU @41A8E9,4997,10FF96001F01,-24.0,15.0,28.7,
23/05/2022 17:48:34.534,1727,WeSU @41A8E9,4998,E0FE4C007301,-28.8,7.6,37.1,
23/05/2022 17:48:34.566,1759,WeSU @41A8E9,5000,0AFF88FF5401,-24.6,-12.0,34.0,
