Log start on,2022-05-23 19:16:24
Feature,Gyroscope
Nodes,WeSU @41A8E9, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
23/05/2022 19:16:24.921,17,WeSU @41A8E9,10381,31004600ABFF,4.9,7.0,-8.5,
23/05/2022 19:16:24.950,46,WeSU @41A8E9,10383,5100CC0089FF,8.1,20.4,-11.9,
23/05/2022 19:16:24.949,45,WeSU @41A8E9,10382,3B00820099FF,5.9,13.0,-10.3,
23/05/2022 19:16:24.984,80,WeSU @41A8E9,10384,79001F0179FF,12.1,28.7,-13.5,
23/05/2022 19:16:25.010,106,WeSU @41A8E9,10385,B40085016BFF,18.0,38.9,-14.9,
23/05/2022 19:16:25.011,107,WeSU @41A8E9,10386,E100100266FF,22.5,52.8,-15.4,
23/05/2022 19:16:25.040,136,WeSU @41A8E9,10387,C900C30281FF,20.1,70.7,-12.7,
23/05/2022 19:16:25.070,166,WeSU @41A8E9,10388,A40004039EFF,16.4,77.2,-9.8,
23/05/2022 19:16:25.071,167,WeSU @41A8E9,10389,96004A02A3FF,15.0,58.6,-9.3,
23/05/2022 19:16:25.100,196,WeSU @41A8E9,10390,9800670197FF,15.2,35.9,-10.5,
23/05/2022 19:16:25.130,226,WeSU @41A8E9,10391,A6006A0166FF,16.6,36.2,-15.4,
23/05/2022 19:16:25.131,227,WeSU @41A8E9,10392,920039025AFF,14.6,56.9,-16.6,
23/05/2022 19:16:25.160,256,WeSU @41A8E9,10393,8100870285FF,12.9,64.7,-12.3,
23/05/2022 19:16:25.190,286,WeSU @41A8E9,10394,87009C01A3FF,13.5,41.2,-9.3,
23/05/2022 19:16:25.191,287,WeSU @41A8E9,10395,5F001300D3FF,9.5,1.9,-4.5,
23/05/2022 19:16:25.220,316,WeSU @41A8E9,10396,3000B7FEDDFF,4.8,-32.9,-3.5,
23/05/2022 19:16:25.250,346,WeSU @41A8E9,10397,690082FFFDFF,10.5,-12.6,-0.3,
23/05/2022 19:16:25.250,346,WeSU @41A8E9,10398,6B009DFF3800,10.7,-9.9,5.6,
23/05/2022 19:16:25.281,377,WeSU @41A8E9,10399,820083FF6700,13.0,-12.5,10.3,
23/05/2022 19:16:25.309,405,WeSU @41A8E9,10400,EA0014FF9500,23.4,-23.6,14.9,
23/05/2022 19:16:25.310,406,WeSU @41A8E9,10401,7B01B6FE9700,37.9,-33.0,15.1,
23/05/2022 19:16:25.340,436,WeSU @41A8E9,10402,9401C9FD3A00,40.4,-56.7,5.8,
23/05/2022 19:16:25.370,466,WeSU @41A8E9,10403,740175FD6F00,37.2,-65.1,11.1,
23/05/2022 19:16:25.373,469,WeSU @41A8E9,10404,2D0148FD2500,30.1,-69.6,3.7,
23/05/2022 19:16:25.400,496,WeSU @41A8E9,10405,95004DFD1500,14.9,-69.1,2.1,
23/05/2022 19:16:25.430,526,WeSU @41A8E9,10406,80FF5AFFD2FF,-12.8,-16.6,-4.6,
23/05/2022 19:16:25.432,528,WeSU @41A8E9,10407,CFFE10013EFF,-30.5,27.2,-19.4,
23/05/2022 19:16:25.460,556,WeSU @41A8E9,10408,65FE6002E3FE,-41.1,60.8,-28.5,
23/05/2022 19:16:25.491,587,WeSU @41A8E9,10409,90FEAE03A7FE,-36.8,94.2,-34.5,
23/05/2022 19:16:25.491,587,WeSU @41A8E9,10410,34FF2304D8FE,-20.4,105.9,-29.6,
23/05/2022 19:16:25.522,618,WeSU @41A8E9,10411,9AFF090350FF,-10.2,77.7,-17.6,
23/05/2022 19:16:25.551,647,WeSU @41A8E9,10412,6BFF360136FF,-14.9,31.0,-20.2,
23/05/2022 19:16:25.551,647,WeSU @41A8E9,10413,3DFF03013CFF,-19.5,25.9,-19.6,
23/05/2022 19:16:25.583,679,WeSU @41A8E9,10414,23FF350144FF,-22.1,30.9,-18.8,
23/05/2022 19:16:25.616,712,WeSU @41A8E9,10416,C1FFFA013100,-6.3,50.6,4.9,
23/05/2022 19:16:25.615,711,WeSU @41A8E9,10415,5EFF1802DBFF,-16.2,53.6,-3.7,
23/05/2022 19:16:25.640,736,WeSU @41A8E9,10417,090012004500,0.9,1.8,6.9,
23/05/2022 19:16:25.671,767,WeSU @41A8E9,10419,F10030FDB500,24.1,-72.0,18.1,
23/05/2022 19:16:25.671,767,WeSU @41A8E9,10418,7100C7FE9E00,11.3,-31.3,15.8,
23/05/2022 19:16:25.700,796,WeSU @41A8E9,10420,F6003DFB6A00,24.6,-121.9,10.6,
23/05/2022 19:16:25.730,826,WeSU @41A8E9,10421,120133FB8000,27.4,-122.9,12.8,
23/05/2022 19:16:25.731,827,WeSU @41A8E9,10422,2800BAFD1000,4.0,-58.2,1.6,
23/05/2022 19:16:25.760,856,WeSU @41A8E9,10423,3C00C101D7FF,6.0,44.9,-4.1,
23/05/2022 19:16:25.790,886,WeSU @41A8E9,10424,AC0073041800,17.2,113.9,2.4,
23/05/2022 19:16:25.791,887,WeSU @41A8E9,10425,B500D9046AFF,18.1,124.1,-15.0,
23/05/2022 19:16:25.824,920,WeSU @41A8E9,10426,0AFF8A0097FF,-24.6,13.8,-10.5,
23/05/2022 19:16:25.853,949,WeSU @41A8E9,10427,AEFE16FE93FE,-33.8,-49.0,-36.5,
23/05/2022 19:16:25.855,951,WeSU @41A8E9,10428,4EFF3803A8FF,-17.8,82.4,-8.8,
23/05/2022 19:16:25.881,977,WeSU @41A8E9,10429,4BFF9003A0FF,-18.1,91.2,-9.6,
23/05/2022 19:16:25.910,1006,WeSU @41A8E9,10430,B7FFCA00C2FF,-7.3,20.2,-6.2,
23/05/2022 19:16:25.911,1007,WeSU @41A8E9,10431,6D004EFDBDFF,10.9,-69.0,-6.7,
23/05/2022 19:16:25.940,1036,WeSU @41A8E9,10432,1E01DEFC4300,28.6,-80.2,6.7,
23/05/2022 19:16:25.971,1067,WeSU @41A8E9,10433,AE01ABFC6800,43.0,-85.3,10.4,
23/05/2022 19:16:25.971,1067,WeSU @41A8E9,10434,89008CFDD2FF,13.7,-62.8,-4.6,
23/05/2022 19:16:26.002,1098,WeSU @41A8E9,10435,33FF31005EFF,-20.5,4.9,-16.2,
23/05/2022 19:16:26.030,1126,WeSU @41A8E9,10436,D1FEBA0388FF,-30.3,95.4,-12.0,
23/05/2022 19:16:26.031,1127,WeSU @41A8E9,10437,C2FE0E0466FF,-31.8,103.8,-15.4,
23/05/2022 19:16:26.062,1158,WeSU @41A8E9,10438,37FF84012AFF,-20.1,38.8,-21.4,
23/05/2022 19:16:26.098,1194,WeSU @41A8E9,10440,DF008DFD0E00,22.3,-62.7,1.4,
23/05/2022 19:16:26.097,1193,WeSU @41A8E9,10439,2E00F2FD92FF,4.6,-52.6,-11.0,
23/05/2022 19:16:26.131,1227,WeSU @41A8E9,10441,60018CFE7E00,35.2,-37.2,12.6,
23/05/2022 19:16:26.149,1245,WeSU @41A8E9,10442,FF0089FE2200,25.5,-37.5,3.4,
23/05/2022 19:16:26.150,1246,WeSU @41A8E9,10443,84FF87FF9CFF,-12.4,-12.1,-10.0,
23/05/2022 19:16:26.181,1277,WeSU @41A8E9,10444,50FF4B01C0FF,-17.6,33.1,-6.4,
23/05/2022 19:16:26.210,1306,WeSU @41A8E9,10446,CEFEB5036BFF,-30.6,94.9,-14.9,
23/05/2022 19:16:26.210,1306,WeSU @41A8E9,10445,ABFE6D024DFF,-34.1,62.1,-17.9,
23/05/2022 19:16:26.240,1336,WeSU @41A8E9,10447,18FF0F0223FF,-23.2,52.7,-22.1,
23/05/2022 19:16:26.276,1372,WeSU @41A8E9,10448,08006EFE5FFF,0.8,-40.2,-16.1,
23/05/2022 19:16:26.277,1373,WeSU @41A8E9,10449,B500B7FDD9FF,18.1,-58.5,-3.9,
23/05/2022 19:16:26.309,1405,WeSU @41A8E9,10450,390145FF9400,31.3,-18.7,14.8,
23/05/2022 19:16:26.329,1425,WeSU @41A8E9,10451,4C01EAFE5A00,33.2,-27.8,9.0,
23/05/2022 19:16:26.331,1427,WeSU @41A8E9,10452,D1009BFEDCFF,20.9,-35.7,-3.6,
23/05/2022 19:16:26.361,1457,WeSU @41A8E9,10453,3C006DFFDBFF,6.0,-14.7,-3.7,
23/05/2022 19:16:26.389,1485,WeSU @41A8E9,10454,C4FF4901ECFF,-6.0,32.9,-2.0,
23/05/2022 19:16:26.390,1486,WeSU @41A8E9,10455,5BFFC001BAFF,-16.5,44.8,-7.0,
23/05/2022 19:16:26.421,1517,WeSU @41A8E9,10456,9AFE530239FF,-35.8,59.5,-19.9,
23/05/2022 19:16:26.450,1546,WeSU @41A8E9,10457,88FE930354FF,-37.6,91.5,-17.2,
23/05/2022 19:16:26.452,1548,WeSU @41A8E9,10458,D0FE0A031EFF,-30.4,77.8,-22.6,
23/05/2022 19:16:26.481,1577,WeSU @41A8E9,10459,2EFF1D01ECFE,-21.0,28.5,-27.6,
23/05/2022 19:16:26.510,1606,WeSU @41A8E9,10460,87FFE7FE05FF,-12.1,-28.1,-25.1,
23/05/2022 19:16:26.512,1608,WeSU @41A8E9,10461,E8FFF2FD84FF,-2.4,-52.6,-12.4,
23/05/2022 19:16:26.540,1636,WeSU @41A8E9,10462,580090FF2400,8.8,-11.2,3.6,
23/05/2022 19:16:26.569,1665,WeSU @41A8E9,10463,44013A001101,32.4,5.8,27.3,
23/05/2022 19:16:26.572,1668,WeSU @41A8E9,10464,D301EBFDA900,46.7,-53.3,16.9,
23/05/2022 19:16:26.607,1703,WeSU @41A8E9,10465,CB019EFC0800,45.9,-86.6,0.8,
23/05/2022 19:16:26.630,1726,WeSU @41A8E9,10466,C3FF08FFEEFF,-6.1,-24.8,-1.8,
23/05/2022 19:16:26.631,1727,WeSU @41A8E9,10467,2AFFE5012B00,-21.4,48.5,4.3,
23/05/2022 19:16:26.660,1756,WeSU @41A8E9,10468,8AFE8C0180FF,-37.4,39.6,-12.8,
23/05/2022 19:16:26.691,1787,WeSU @41A8E9,10469,58FECD005FFF,-42.4,20.5,-16.1,
23/05/2022 19:16:26.699,1795,WeSU @41A8E9,10470,4DFE2CFFDBFE,-43.5,-21.2,-29.3,
23/05/2022 19:16:26.720,1816,WeSU @41A8E9,10471,2AFF5500E9FE,-21.4,8.5,-27.9,
23/05/2022 19:16:26.750,1846,WeSU @41A8E9,10472,36006301FCFE,5.4,35.5,-26.0,
23/05/2022 19:16:26.751,1847,WeSU @41A8E9,10473,F800B8001DFF,24.8,18.4,-22.7,
23/05/2022 19:16:26.780,1876,WeSU @41A8E9,10474,2500F2FE57FF,3.7,-27.0,-16.9,
23/05/2022 19:16:26.810,1906,WeSU @41A8E9,10475,C8FF8C0092FF,-5.6,14.0,-11.0,
23/05/2022 19:16:26.810,1906,WeSU @41A8E9,10476,63FF0704E1FF,-15.7,103.1,-3.1,
23/05/2022 19:16:26.840,1936,WeSU @41A8E9,10477,5AFE1B07F7FE,-42.2,181.9,-26.5,
23/05/2022 19:16:26.870,1966,WeSU @41A8E9,10478,67FED30899FF,-40.9,225.9,-10.3,
23/05/2022 19:16:26.871,1967,WeSU @41A8E9,10479,D9FE050595FF,-29.5,128.5,-10.7,
23/05/2022 19:16:26.901,1997,WeSU @41A8E9,10480,70FE40FE23FF,-40.0,-44.8,-22.1,
23/05/2022 19:16:26.930,2026,WeSU @41A8E9,10481,D9FD9CFD8F00,-55.1,-61.2,14.3,
23/05/2022 19:16:26.931,2027,WeSU @41A8E9,10482,08FD1A021301,-76.0,53.8,27.5,
23/05/2022 19:16:26.960,2056,WeSU @41A8E9,10483,2AFC8004B201,-98.2,115.2,43.4,
23/05/2022 19:16:26.990,2086,WeSU @41A8E9,10484,AAFB0905C901,-111.0,128.9,45.7,
23/05/2022 19:16:26.991,2087,WeSU @41A8E9,10485,A7FBB105BF01,-111.3,145.7,44.7,
23/05/2022 19:16:27.024,2120,WeSU @41A8E9,10486,A7FBD206BE01,-111.3,174.6,44.6,
23/05/2022 19:16:27.052,2148,WeSU @41A8E9,10487,90FB0908CD01,-113.6,205.7,46.1,
23/05/2022 19:16:27.055,2151,WeSU @41A8E9,10488,79FB6908F101,-115.9,215.3,49.7,
23/05/2022 19:16:27.082,2178,WeSU @41A8E9,10489,87FB5508EF01,-114.5,213.3,49.5,
23/05/2022 19:16:27.111,2207,WeSU @41A8E9,10491,FAFB21080102,-103.0,208.1,51.3,
23/05/2022 19:16:27.110,2206,WeSU @41A8E9,10490,BDFB3A08FB01,-109.1,210.6,50.7,
23/05/2022 19:16:27.142,2238,WeSU @41A8E9,10492,13FC56071402,-100.5,187.8,53.2,
23/05/2022 19:16:27.171,2267,WeSU @41A8E9,10493,1CFCD305FF01,-99.6,149.1,51.1,
23/05/2022 19:16:27.172,2268,WeSU @41A8E9,10494,52FCAC040C02,-94.2,119.6,52.4,
23/05/2022 19:16:27.201,2297,WeSU @41A8E9,10495,AAFC2A040802,-85.4,106.6,52.0,
23/05/2022 19:16:27.231,2327,WeSU @41A8E9,10496,2FFDB903CE01,-72.1,95.3,46.2,
23/05/2022 19:16:27.231,2327,WeSU @41A8E9,10497,7CFD5B037A01,-64.4,85.9,37.8,
23/05/2022 19:16:27.260,2356,WeSU @41A8E9,10498,DCFDAD022E01,-54.8,68.5,30.2,
23/05/2022 19:16:27.290,2386,WeSU @41A8E9,10499,50FEB5010601,-43.2,43.7,26.2,
23/05/2022 19:16:27.291,2387,WeSU @41A8E9,10500,E3FEE0001701,-28.5,22.4,27.9,
23/05/2022 19:16:27.320,2416,WeSU @41A8E9,10501,65FF67002801,-15.5,10.3,29.6,
23/05/2022 19:16:27.350,2446,WeSU @41A8E9,10502,CEFF6A001F01,-5.0,10.6,28.7,
23/05/2022 19:16:27.351,2447,WeSU @41A8E9,10503,2600A400FD00,3.8,16.4,25.3,
23/05/2022 19:16:27.380,2476,WeSU @41A8E9,10504,7E008900BC00,12.6,13.7,18.8,
23/05/2022 19:16:27.410,2506,WeSU @41A8E9,10505,BC0045007200,18.8,6.9,11.4,
23/05/2022 19:16:27.411,2507,WeSU @41A8E9,10506,0A0148003700,26.6,7.2,5.5,
