Log start on,2022-03-22 15:25:17
Feature,Accelerometer
Nodes,WeSU @41A8E9, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
22/03/2022 15:25:18.230,989,WeSU @41A8E9,7265,45FD6A00C902,-699,106,713,
22/03/2022 15:25:18.261,1020,WeSU @41A8E9,7267,32FDFE002102,-718,254,545,
22/03/2022 15:25:18.292,1051,WeSU @41A8E9,7269,1BFD04010B02,-741,260,523,
22/03/2022 15:25:18.291,1050,WeSU @41A8E9,7268,3EFD0F011802,-706,271,536,
22/03/2022 15:25:18.320,1079,WeSU @41A8E9,7270,1AFDFA00D901,-742,250,473,
22/03/2022 15:25:18.350,1109,WeSU @41A8E9,7271,33FD00017601,-717,256,374,
22/03/2022 15:25:18.351,1110,WeSU @41A8E9,7272,CCFCE4005101,-820,228,337,
22/03/2022 15:25:18.380,1139,WeSU @41A8E9,7273,2AFDA600BD01,-726,166,445,
22/03/2022 15:25:18.413,1172,WeSU @41A8E9,7275,B6FD53001303,-586,83,787,
22/03/2022 15:25:18.413,1172,WeSU @41A8E9,7274,A4FD74006F02,-604,116,623,
22/03/2022 15:25:18.441,1200,WeSU @41A8E9,7276,AEFCABFFD703,-850,-85,983,
22/03/2022 15:25:18.471,1230,WeSU @41A8E9,7277,E6FC91FF6303,-794,-111,867,
22/03/2022 15:25:18.472,1231,WeSU @41A8E9,7278,06FD51FF6303,-762,-175,867,
22/03/2022 15:25:18.500,1259,WeSU @41A8E9,7279,54FDABFF6D03,-684,-85,877,
22/03/2022 15:25:18.531,1290,WeSU @41A8E9,7280,C0FD28001003,-576,40,784,
22/03/2022 15:25:18.532,1291,WeSU @41A8E9,7281,60FD0400F402,-672,4,756,
22/03/2022 15:25:18.560,1319,WeSU @41A8E9,7282,4AFC58001902,-950,88,537,
22/03/2022 15:25:18.590,1349,WeSU @41A8E9,7283,7BFC9F00C601,-901,159,454,
22/03/2022 15:25:18.592,1351,WeSU @41A8E9,7284,CCFCBD009501,-820,189,405,
22/03/2022 15:25:18.622,1381,WeSU @41A8E9,7285,24FDDB004A01,-732,219,330,
22/03/2022 15:25:18.654,1413,WeSU @41A8E9,7286,ECFDAF00E601,-532,175,486,
22/03/2022 15:25:18.656,1415,WeSU @41A8E9,7287,D7FBF600CC01,-1065,246,460,
22/03/2022 15:25:18.685,1444,WeSU @41A8E9,7288,B7FBEE009501,-1097,238,405,
22/03/2022 15:25:18.710,1469,WeSU @41A8E9,7289,A5FC77000202,-859,119,514,
22/03/2022 15:25:18.713,1472,WeSU @41A8E9,7290,1DFC7B00C001,-995,123,448,
22/03/2022 15:25:18.740,1499,WeSU @41A8E9,7291,3EFD90004E02,-706,144,590,
22/03/2022 15:25:18.770,1529,WeSU @41A8E9,7292,0BFE8600A203,-501,134,930,
22/03/2022 15:25:18.771,1530,WeSU @41A8E9,7293,CCFD5900A203,-564,89,930,
22/03/2022 15:25:18.803,1562,WeSU @41A8E9,7294,59FDF3FF8103,-679,-13,897,
22/03/2022 15:25:18.830,1589,WeSU @41A8E9,7295,E3FCEFFF1D03,-797,-17,797,
22/03/2022 15:25:18.832,1591,WeSU @41A8E9,7296,AAFC0300B202,-854,3,690,
22/03/2022 15:25:18.861,1620,WeSU @41A8E9,7297,FEFC60001202,-770,96,530,
22/03/2022 15:25:18.893,1652,WeSU @41A8E9,7299,3AFDA600B101,-710,166,433,
22/03/2022 15:25:18.893,1652,WeSU @41A8E9,7298,5EFD9700DF01,-674,151,479,
22/03/2022 15:25:18.920,1679,WeSU @41A8E9,7300,3AFDB900B301,-710,185,435,
22/03/2022 15:25:18.950,1709,WeSU @41A8E9,7301,88FDD200FF01,-632,210,511,
22/03/2022 15:25:18.955,1714,WeSU @41A8E9,7302,0AFDC9004902,-758,201,585,
22/03/2022 15:25:18.981,1740,WeSU @41A8E9,7303,0FFDBF009302,-753,191,659,
22/03/2022 15:25:19.011,1770,WeSU @41A8E9,7304,91FCAD007402,-879,173,628,
22/03/2022 15:25:19.012,1771,WeSU @41A8E9,7305,60FC3B006E02,-928,59,622,
22/03/2022 15:25:19.042,1801,WeSU @41A8E9,7306,09FD10001F03,-759,16,799,
22/03/2022 15:25:19.074,1833,WeSU @41A8E9,7307,21FDF0FF2403,-735,-16,804,
22/03/2022 15:25:19.074,1833,WeSU @41A8E9,7308,37FDF5FF3203,-713,-11,818,
22/03/2022 15:25:19.101,1860,WeSU @41A8E9,7309,9EFD27001A03,-610,39,794,
22/03/2022 15:25:19.131,1890,WeSU @41A8E9,7310,CEFCF5FFDD02,-818,-11,733,
22/03/2022 15:25:19.132,1891,WeSU @41A8E9,7311,0EFD2D006702,-754,45,615,
22/03/2022 15:25:19.161,1920,WeSU @41A8E9,7312,D2FC6D001A02,-814,109,538,
22/03/2022 15:25:19.191,1950,WeSU @41A8E9,7313,01FD76002202,-767,118,546,
22/03/2022 15:25:19.191,1950,WeSU @41A8E9,7314,0AFD94000202,-758,148,514,
22/03/2022 15:25:19.221,1980,WeSU @41A8E9,7315,17FDBE00E801,-745,190,488,
22/03/2022 15:25:19.249,2008,WeSU @41A8E9,7316,1EFDA700F201,-738,167,498,
22/03/2022 15:25:19.253,2012,WeSU @41A8E9,7317,42FD8D008F02,-702,141,655,
22/03/2022 15:25:19.280,2039,WeSU @41A8E9,7318,0EFD6B006A03,-754,107,874,
22/03/2022 15:25:19.314,2073,WeSU @41A8E9,7319,3BFC15009403,-965,21,916,
22/03/2022 15:25:19.314,2073,WeSU @41A8E9,7320,B1FC13001703,-847,19,791,
22/03/2022 15:25:19.340,2099,WeSU @41A8E9,7321,9EFC3900DD01,-866,57,477,
22/03/2022 15:25:19.371,2130,WeSU @41A8E9,7322,A0FC2A003F02,-864,42,575,
22/03/2022 15:25:19.371,2130,WeSU @41A8E9,7323,0EFE7800E102,-498,120,737,
22/03/2022 15:25:19.400,2159,WeSU @41A8E9,7324,EAFDEB007B02,-534,235,635,
22/03/2022 15:25:19.431,2190,WeSU @41A8E9,7325,CCFDD1000902,-564,209,521,
22/03/2022 15:25:19.432,2191,WeSU @41A8E9,7326,EBFDB3001202,-533,179,530,
22/03/2022 15:25:19.461,2220,WeSU @41A8E9,7327,9BFD7C00AC02,-613,124,684,
22/03/2022 15:25:19.491,2250,WeSU @41A8E9,7328,04FD3D004D03,-764,61,845,
22/03/2022 15:25:19.493,2252,WeSU @41A8E9,7329,58FCFDFF2103,-936,-3,801,
22/03/2022 15:25:19.521,2280,WeSU @41A8E9,7330,59FCE8FF0C03,-935,-24,780,
22/03/2022 15:25:19.551,2310,WeSU @41A8E9,7331,F0FC1F000E03,-784,31,782,
22/03/2022 15:25:19.552,2311,WeSU @41A8E9,7332,68FD3D007B02,-664,61,635,
22/03/2022 15:25:19.581,2340,WeSU @41A8E9,7333,EAFC13001A02,-790,19,538,
22/03/2022 15:25:19.612,2371,WeSU @41A8E9,7334,C4FC3300FB01,-828,51,507,
22/03/2022 15:25:19.613,2372,WeSU @41A8E9,7335,40FD6D005B02,-704,109,603,
22/03/2022 15:25:19.641,2400,WeSU @41A8E9,7336,46FD5B003102,-698,91,561,
22/03/2022 15:25:19.671,2430,WeSU @41A8E9,7337,55FD5E005F02,-683,94,607,
22/03/2022 15:25:19.671,2430,WeSU @41A8E9,7338,EEFD7F00C602,-530,127,710,
22/03/2022 15:25:19.700,2459,WeSU @41A8E9,7339,7FFDDD000503,-641,221,773,
22/03/2022 15:25:19.732,2491,WeSU @41A8E9,7340,64FD95000503,-668,149,773,
22/03/2022 15:25:19.732,2491,WeSU @41A8E9,7341,F1FD5A00E502,-527,90,741,
22/03/2022 15:25:19.761,2520,WeSU @41A8E9,7342,E1FC7B00BE02,-799,123,702,
22/03/2022 15:25:19.792,2551,WeSU @41A8E9,7344,97FDA7003303,-617,167,819,
22/03/2022 15:25:19.792,2551,WeSU @41A8E9,7343,37FD8E00E502,-713,142,741,
22/03/2022 15:25:19.824,2583,WeSU @41A8E9,7345,6CFD7900F602,-660,121,758,
22/03/2022 15:25:19.854,2613,WeSU @41A8E9,7346,54FD4900FE02,-684,73,766,
